Label,Notation,Parent Notation
Insgesamt,99,
Ägypter,04,99
Albaner,05,99
Armenier,07,99
Aromunen,09,99
Ashkali,08,99
Bosniaken,10,99
Bulgaren,11,99
Bunjewatzen,13,99
Deutsche,15,99
Gagausen,17,99
"Goranci, Gorani",18,99
Italiener,21,99
Juden,23,99
Jugoslawen,32,99
Karakatschanen,25,99
Kroaten,27,99
Ladiner,29,99
Magyaren,31_,99
Makedonier,33,99
Montenegriner,35,99
Muslime,37,99
Polen (ethnische Gruppe),39,99
Pomaken,41,99
Roma,77_,99
Rumänen,43,99
Russen,45,99
Ruthenen,47,99
Serben,49,99
Slawen,51,99
Slowaken,53,99
Slowenen,55,99
Sonstige ethnische Gruppen,79,99
Sopi,57,99
Südslawen,59,99
Tataren,61,99
Torbeschen,63,99
Tschechen,65,99
Tscherkessen,67,99
Türken,71,99
Turkmenen,69,99
"Ukrainer, s. a. Ruthenen",73,99
"Ungarn, s. a. Magyaren",31,99
Weißrussen,74,99
Yürüken,75,99
"Zigeuner, s. a. Roma",77,99

