Label,Notation,ParentNotation,Wikidata,AltLabel,Related
Insgesamt,99,,Q41710,,
Ägypter,04,99,Q805039,,
Albaner,05,99,Q179248,,
Armenier,07,99,Q79797,,
Aromunen,09,99,Q201111,,
Ashkali,08,99,Q282427,,
Bosniaken,10,99,Q940348,,
Bulgaren,11,99,Q133255,,
Bunjewatzen,13,99,Q591964,,
Deutsche,15,99,Q42884,,
Gagausen,17,99,Q180361,,
Goranci,18,99,Q851126,Gorani,
Italiener,21,99,Q50001,,
Juden,23,99,Q7325,,
Jugoslawen,32,99,Q236807,,
Karakatschanen,25,99,Q841744,,
Kroaten,27,99,Q167420,,
Ladiner,29,99,Q1799968,,
Makedonier,33,99,Q2436423,,
Montenegriner,35,99,Q19109,,
Muslime,37,99,Q1137457,,
Polen (ethnische Gruppe),39,99,Q1026,,
Pomaken,41,99,Q38915,,
Rumänen,43,99,Q485150,,
Russen,45,99,Q49542,,
Ruthenen,47,99,Q690869,,73
Serben,49,99,Q127885,,
Slawen,51,99,Q40477,,
Slowaken,53,99,Q171336,,
Slowenen,55,99,Q15863,,
Sonstige ethnische Gruppen,79,99,,
Sopi,57,99,Q3623724,,
Südslawen,59,99,Q273824,,
Tataren,61,99,Q35565,,
Torbeschen,63,99,Q1262476,,
Tschechen,65,99,Q170217,,
Tscherkessen,67,99,Q15763,,
Türken,71,99,Q84072,,
Turkmenen,69,99,Q484472,,
Ukrainer,73,99,Q44806,,47
Ungarn,31,99,Q133032,Magyaren,
Weißrussen,74,99,Q483569,,
Yürüken,75,99,Q170056,,
Zigeuner,77,99,Q8060,Roma,
